1,2,WHAT IS THE NAME OF THE HORSE-LIKE ANIMAL WITH BLACK AND WHITE STRIPES? ,ZEBRA
2,3,WHAT IS THE NAME OF THE LONG SLEEP SOME ANIMALS GO THROUGH DURING THE ENTIRE WINTER? ,HIBERNATION
3,16,WHAT IS THE NAME OF THE RUBBER OBJECT THAT IS HIT BACK AND FORTH BY HOCKEY PLAYERS? ,PUCK
4,15,WHAT IS THE NAME OF THE REMAINS OF PLANTS AND ANIMALS THAT ARE FOUND IN STONE? ,FOSSILS
5,13,WHICH PRECIOUS GEM IS RED? ,RUBY
6,25,WHAT IS THE NAME OF THE SEVERE HEADACHE THAT RETURNS PERIODICALLY AND OFTEN IS ACCOMPANIED BY NAUSEA? ,MIGRAINE
7,30,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “ROMEO AND JULIET”? ,SHAKESPEARE
8,9,WHAT IS THE NAME OF A DRIED GRAPE? ,RAISIN
9,1,WHAT IS THE NAME OF THE COMIC STRIP CHARACTER WHO EATS SPINACH TO INCREASE HIS STRENGTH? ,POPEYE
10,93,WHAT ANIMAL RUNS THE FASTEST? ,CHEETAH
11,33,WHAT IS THE NAME OF THE PROCESS BY WHICH PLANTS MAKE THEIR FOOD? ,PHOTOSYNTHESIS
12,19,WHAT IS THE NAME OF DOROTHY’S DOG IN “THE WIZARD OF OZ”? ,TOTO
13,7,WHAT IS THE NAME OF THE MOLTEN ROCK THAT RUNS DOWN THE SIDE OF A VOLCANO DURING AN ERUPTION? ,LAVA
14,37,WHAT WAS THE NAME OF THE SUPPOSEDLY UNSINKABLE SHIP THAT SUNK ON ITS MAIDEN VOYAGE IN 1912? ,TITANIC
15,8,WHICH SPORT USES THE TERMS “GUTTER” AND “ALLEY”? ,BOWLING
16,57,WHAT IS THE NAME OF A GIANT OCEAN WAVE CAUSED BY AN EARTHQUAKE? ,TSUNAMI
17,24,WHAT IS THE TERM FOR HITTING A VOLLEYBALL DOWN HARD INTO THE OPPONENT’S COURT? ,SPIKE
18,73,WHAT IS THE LAST NAME OF THE VILLAINOUS CAPTAIN IN THE STORY “PETER PAN”? ,HOOK
19,5,WHAT WAS THE NAME OF TARZAN’S GIRLFRIEND? ,JANE
20,4,WHAT IS THE LAST NAME OF THE BROTHERS WHO FLEW THE FIRST AIRPLANE AT KITTY HAWK? ,WRIGHT
21,17,WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN CUTTING THE BODY? ,SURGEON
22,53,WHAT IS THE LAST NAME OF THE FIRST PERSON TO SET FOOT ON THE MOON? ,ARMSTRONG
23,6,WHAT IS THE CAPITAL OF FRANCE? ,PARIS
24,11,WHAT IS THE NAME OF THE CRIME IN WHICH A BUILDING OR PROPERTY IS PURPOSELY SET ON FIRE? ,ARSON
25,79,WHAT IS THE NAME OF THE SHORT PLEATED SKIRT WORN BY MEN IN SCOTLAND? ,KILT
26,18,WHAT IS THE NAME OF AN INABILITY TO SLEEP? ,INSOMNIA
27,26,WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN DISEASES OF THE SKIN? ,DERMATOLOGIST
28,43,WHAT IS THE NAME OF THE LARGEST OCEAN ON EARTH? ,PACIFIC
29,22,WHAT IS THE NAME OF THE SHIP THAT CARRIED THE PILGRIMS TO AMERICA IN 1620? ,MAYFLOWER
30,41,WHAT IS THE NAME FOR A CYCLONE THAT OCCURS OVER LAND? ,TORNADO
31,10,WHICH SPORT IS ASSOCIATED WITH WIMBLEDON? ,TENNIS
32,34,WHAT IS THE NAME OF THE BIRD THAT CANNOT FLY AND IS THE LARGEST BIRD ON EARTH? ,OSTRICH
33,63,WHAT IS THE NAME OF THE ISLAND-CITY BELIEVED SINCE ANTIQUITY TO HAVE SUNK INTO THE OCEAN? ,ATLANTIS
34,88,WHAT IS THE NAME OF THE LIZARD THAT CHANGES ITS COLOR TO MATCH THE SURROUNDINGS? ,CHAMELEON
35,35,WHAT IS THE NAME OF THE THICK LAYER OF FAT ON A WHALE? ,BLUBBER
36,49,WHAT IS THE LAST NAME OF THE BASEBALL PLAYER WHO HAD THE MOST HOME RUNS IN A SINGLE SEASON PRIOR TO 1961? ,RUTH
37,59,WHAT IS THE NAME OF A YOUNG SHEEP? ,LAMB
38,65,WHAT IS THE LARGEST PLANET IN THE SOLAR SYSTEM? ,JUPITER
39,52,WHAT IS THE NAME OF THE NAVIGATION INSTRUMENT USED AT SEA TO PLOT POSITION RELATIVE TO THE MAGNETIC NORTH POLE? ,COMPASS
40,75,WHAT IS THE TERM IN GOLF REFERRING TO A SCORE OF ONE UNDER PAR ON A PARTICULAR HOLE? ,BIRDIE
41,77,WHICH GAME USES A RUBBER BALL AND LITTLE METAL PIECES? ,JACKS
42,47,WHAT IS THE NAME OF A DRIED PLUM? ,PRUNE
43,40,IN WHICH SPORT DOES A RIDER ON HORSEBACK HIT A BALL WITH HIS MALLET? ,POLO
44,78,WHAT IS THE NAME OF THE LEGENDARY ONE-EYED GIANT IN GREEK MYTHOLOGY? ,CYCLOPS
45,36,IN WHAT PARK IS “OLD FAITHFUL” LOCATED? ,YELLOWSTONE
46,51,WHAT IS THE NAME OF THE POKER HAND IN WHICH ALL OF THE CARDS ARE OF THE SAME SUIT? ,FLUSH
47,90,IN WHICH SPORT IS THE STANLEY CUP AWARDED? ,HOCKEY
48,89,WHAT IS THE NAME OF THE CHAPEL WHOSE CEILING WAS PAINTED BY MICHELANGELO? ,SISTINE
49,241,OF WHICH COUNTRY IS BAGHDAD THE CAPITAL? ,IRAQ
50,76,WHAT IS THE NAME OF THE LIQUID PORTION OF WHOLE BLOOD? ,PLASMA
51,55,WHAT IS THE NAME OF THE CITY IN ITALY THAT IS KNOWN FOR ITS CANALS? ,VENICE
52,21,WHAT IS THE NAME OF THE SPEAR LIKE OBJECT THAT IS THROWN DURING A TRACK MEET? ,JAVELIN
53,23,WHAT IS THE LAST NAME OF THE MAN WHO RODE HORSEBACK IN 1775 TO WARN THAT THE BRITISH WERE COMING? ,REVERE
54,32,WHO WAS THE EGYPTIAN QUEEN WHO JOINED FORCES WITH MARK ANTONY OF ROME? ,CLEOPATRA
55,67,WHAT IS THE LAST NAME OF THE MAN WHO ASSASSINATED ABRAHAM LINCOLN? ,BOOTH
56,20,WHAT IS THE LAST NAME OF THE MAN WHO SHOWED THAT LIGHTNING IS ELECTRIC? ,FRANKLIN
57,28,WHAT IS THE LAST NAME OF THE FAMOUS MAGICIAN AND ESCAPE ARTIST WHO DIED OF APPENDICITIS? ,HOUDINI
58,83,WHAT IS THE NAME OF DEER MEAT? ,VENISON
59,45,WHAT IS THE NAME OF THE LARGE HAIRY SPIDER THAT LIVES NEAR BANANAS? ,TARANTULA
60,82,WHAT IS THE NAME OF THE OCEAN THAT IS LOCATED BETWEEN AFRICA AND AUSTRALIA? ,INDIAN
61,27,WHAT IS THE LAST NAME OF THE SINGER WHO RECORDED “HEARTBREAK HOTEL” AND “ALL SHOOK UP”? ,PRESLEY
62,81,WHAT IS THE NAME OF THE CRIME IN WHICH A PERSON PURPOSELY BETRAYS HIS COUNTRY? ,TREASON
63,109,WHAT IS THE NAME OF THE FIRST ARTIFICIAL SATELLITE PUT IN ORBIT BY RUSSIA IN 1957? ,SPUTNIK
64,127,WHAT BRAND OF CIGARETTE WAS FIRST TO HAVE THE FLIP-TOP BOX? ,MARLBORO
65,29,WHAT KIND OF METAL IS ASSOCIATED WITH A 50TH WEDDING ANNIVERSARY? ,GOLD
66,39,WHICH TYPE OF SNAKE DO ASIAN SNAKE-CHARMERS USE? ,COBRA
67,42,WHAT IS THE ONLY LIQUID METAL AT ROOM TEMPERATURE? ,MERCURY
68,56,WHAT IS THE NAME OF THE DESERT PEOPLE WHO WANDER INSTEAD OF LIVING IN ONE PLACE? ,NOMADS
69,121,WHAT IS THE CAPITAL OF NEW YORK? ,ALBANY
70,101,WHAT IS THE NAME OF THE ORGAN THAT PRODUCES INSULIN? ,PANCREAS
71,140,WHAT IS THE NAME OF THE COLLAR BONE? ,CLAVICLE
72,104,WHAT IS THE NAME OF THE EXTINCT REPTILES KNOWN AS “TERRIBLE LIZARDS”? ,DINOSAURS
73,54,WHAT IS THE CAPITAL OF RUSSIA? ,MOSCOW
74,62,WHICH BREED OF CAT HAS BLUE EYES? ,SIAMESE
75,102,WHAT IS THE LAST NAME OF THE SECOND U.S. PRESIDENT? ,ADAMS
76,152,WHAT IS THE NAME OF THE CONSTELLATION THAT LOOKS LIKE A FLYING HORSE? ,PEGASUS
77,106,WHAT IS THE NAME OF THE KIND OF CAT THAT SPOKE TO ALICE IN THE STORY “ALICE’S ADVENTURES IN WONDERLAND”? ,CHESHIRE
78,64,WHAT IS THE LAST NAME OF THE MAN WHO PROPOSED THE THEORY OF RELATIVITY? ,EINSTEIN
79,58,WHAT WAS THE LAST NAME OF THE WOMAN WHO SUPPOSEDLY DESIGNED AND SEWED THE FIRST AMERICAN FLAG? ,ROSS
80,124,WHAT IS THE LAST NAME OF THE FIRST SIGNER OF THE “DECLARATION OF INDEPENDENCE”? ,HANCOCK
81,187,WHAT WAS THE NAME OF KING ARTHUR’S SWORD? ,EXCALIBUR
82,61,WHAT IS THE WORD THAT MEANS A NAUTICAL MILE PER HOUR? ,KNOT
83,70,WHAT IS THE NAME FOR THE ASTRONOMICAL BODIES THAT ENTER THE EARTH’S ATMOSPHERE? ,METEORS
84,87,WHAT IS THE LONGEST RIVER IN SOUTH AMERICA? ,AMAZON
85,86,WHAT IS THE NAME OF THE AUTOMOBILE INSTRUMENT THAT MEASURES MILEAGE? ,ODOMETER
86,145,WHAT ITALIAN CITY WAS DESTROYED WHEN MOUNT VESUVIUS ERUPTED IN 79 A.D.? ,POMPEII
87,115,WHAT IS THE LAST NAME OF BATMAN’S SECRET IDENTITY IN THE BATMAN COMICS? ,WAYNE
88,66,WHAT IS THE LAST NAME OF THE MYTHICAL GIANT LUMBERJACK? ,BUNYAN
89,199,WHAT IS THE NAME OF THE COMPANY THAT PRODUCES “BABY RUTH” CANDY BARS? ,NESTLE
90,103,WHAT IS THE NAME OF SOCRATES’ MOST FAMOUS STUDENT? ,PLATO
91,111,WHAT IS THE NAME OF THE THREE-LEAF CLOVER THAT IS THE EMBLEM OF IRELAND? ,SHAMROCK
92,110,OF WHICH COUNTRY IS BUENOS AIRES THE CAPITAL? ,ARGENTINA
93,60,WHAT IS THE LAST NAME OF THE ACTRESS WHO RECEIVED THE BEST ACTRESS AWARD FOR THE MOVIE “MARY POPPINS”? ,ANDREWS
94,126,WHAT IS THE NAME OF THE MOUNTAIN RANGE IN WHICH MOUNT EVEREST IS LOCATED? ,HIMALAYAS
95,80,WHAT IS THE UNIT OF SOUND INTENSITY? ,DECIBEL
96,207,WHAT IS THE NAME OF THE PROJECT WHICH DEVELOPED THE ATOMIC BOMB DURING WORLD WAR II? ,MANHATTAN
